/usr/local/lib/python2.7/dist-packages/tensorflow/python/ops/gradients_impl.py:96: UserWarning: Converting sparse IndexedSlices to a dense Tensor of unknown shape. This may consume a large amount of memory.
  "Converting sparse IndexedSlices to a dense Tensor of unknown shape. "
2017-12-25 20:50:31,632 : Finished building computation graph for training.
2017-12-25 20:50:34,159 : Read in training data successfully.
2017-12-25 20:50:34.180178: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-12-25 20:50:34.911730: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.873
pciBusID: 0000:03:00.0
totalMemory: 7.92GiB freeMemory: 7.80GiB
2017-12-25 20:50:34.911774: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080, pci bus id: 0000:03:00.0, compute capability: 6.1)
2017-12-25 20:50:35,599 : Epoch 0 started:
2017-12-25 20:50:36,153 : Iter 0, training loss: 332.448516
2017-12-25 20:50:38,729 : Iter 10, training loss: 211.244558
2017-12-25 20:50:41,214 : Iter 20, training loss: 132.547759
2017-12-25 20:50:43,690 : Iter 30, training loss: 99.739431
2017-12-25 20:50:46,146 : Iter 40, training loss: 83.777929
2017-12-25 20:50:48,619 : Iter 50, training loss: 72.339056
2017-12-25 20:50:51,173 : Iter 60, training loss: 64.388167
2017-12-25 20:50:53,765 : Iter 70, training loss: 58.921189
2017-12-25 20:50:56,393 : Iter 80, training loss: 54.089064
2017-12-25 20:50:59,019 : Iter 90, training loss: 51.076996
2017-12-25 20:51:01,571 : Iter 100, training loss: 47.986205
2017-12-25 20:51:03,996 : Iter 110, training loss: 45.780891
2017-12-25 20:51:06,551 : Iter 120, training loss: 43.385986
2017-12-25 20:51:09,024 : Iter 130, training loss: 41.615692
2017-12-25 20:51:11,492 : Iter 140, training loss: 40.077716
2017-12-25 20:51:13,788 : Iter 150, training loss: 38.448424
2017-12-25 20:51:16,317 : Iter 160, training loss: 36.990573
2017-12-25 20:51:18,740 : Iter 170, training loss: 35.807192
2017-12-25 20:51:21,321 : Iter 180, training loss: 34.844953
2017-12-25 20:51:23,924 : Iter 190, training loss: 33.911688
2017-12-25 20:51:26,464 : Iter 200, training loss: 33.012233
2017-12-25 20:51:29,118 : Iter 210, training loss: 32.196865
2017-12-25 20:51:31,600 : Iter 220, training loss: 31.293108
2017-12-25 20:51:34,070 : Iter 230, training loss: 30.600824
2017-12-25 20:51:36,491 : Iter 240, training loss: 29.942301
2017-12-25 20:51:39,004 : Iter 250, training loss: 29.353006
2017-12-25 20:51:41,546 : Iter 260, training loss: 28.809829
2017-12-25 20:51:44,209 : Iter 270, training loss: 28.385661
2017-12-25 20:51:46,635 : Iter 280, training loss: 27.832597
2017-12-25 20:51:49,084 : Iter 290, training loss: 27.316295
2017-12-25 20:51:51,506 : Iter 300, training loss: 26.886483
2017-12-25 20:51:54,092 : Iter 310, training loss: 26.505414
2017-12-25 20:51:56,752 : Iter 320, training loss: 26.108930
2017-12-25 20:51:59,213 : Iter 330, training loss: 25.648692
2017-12-25 20:52:01,765 : Iter 340, training loss: 25.255419
2017-12-25 20:52:04,116 : Iter 350, training loss: 24.820105
2017-12-25 20:52:05,475 : Epoch 0, training loss: 24.638725
2017-12-25 20:52:07,178 : Epoch 0, validation loss: 18.399870
2017-12-25 20:52:07,288 : Training checkpoint has been saved.
2017-12-25 20:52:07,288 : Epoch 1 started:
2017-12-25 20:52:07,522 : Iter 0, training loss: 17.928978
2017-12-25 20:52:10,287 : Iter 10, training loss: 11.227180
2017-12-25 20:52:13,037 : Iter 20, training loss: 10.590804
2017-12-25 20:52:15,428 : Iter 30, training loss: 11.147335
2017-12-25 20:52:17,933 : Iter 40, training loss: 10.955042
2017-12-25 20:52:20,511 : Iter 50, training loss: 11.079479
2017-12-25 20:52:23,163 : Iter 60, training loss: 10.803327
2017-12-25 20:52:25,689 : Iter 70, training loss: 10.959580
2017-12-25 20:52:28,146 : Iter 80, training loss: 10.954873
2017-12-25 20:52:30,853 : Iter 90, training loss: 10.886902
2017-12-25 20:52:33,450 : Iter 100, training loss: 10.836641
2017-12-25 20:52:35,933 : Iter 110, training loss: 10.905445
2017-12-25 20:52:38,444 : Iter 120, training loss: 11.004345
2017-12-25 20:52:40,777 : Iter 130, training loss: 10.869569
2017-12-25 20:52:43,326 : Iter 140, training loss: 10.805257
2017-12-25 20:52:45,763 : Iter 150, training loss: 10.844635
2017-12-25 20:52:48,174 : Iter 160, training loss: 10.747412
2017-12-25 20:52:50,624 : Iter 170, training loss: 10.772867
2017-12-25 20:52:53,060 : Iter 180, training loss: 10.708944
2017-12-25 20:52:55,600 : Iter 190, training loss: 10.642195
2017-12-25 20:52:58,070 : Iter 200, training loss: 10.654210
2017-12-25 20:53:00,702 : Iter 210, training loss: 10.554858
2017-12-25 20:53:03,162 : Iter 220, training loss: 10.744939
2017-12-25 20:53:05,474 : Iter 230, training loss: 10.630982
2017-12-25 20:53:07,948 : Iter 240, training loss: 10.571500
2017-12-25 20:53:10,434 : Iter 250, training loss: 10.510415
2017-12-25 20:53:12,998 : Iter 260, training loss: 10.460642
2017-12-25 20:53:15,642 : Iter 270, training loss: 10.369054
2017-12-25 20:53:18,262 : Iter 280, training loss: 10.290194
2017-12-25 20:53:20,914 : Iter 290, training loss: 10.207885
2017-12-25 20:53:23,470 : Iter 300, training loss: 10.135470
2017-12-25 20:53:26,076 : Iter 310, training loss: 10.077627
2017-12-25 20:53:28,604 : Iter 320, training loss: 10.035891
2017-12-25 20:53:30,987 : Iter 330, training loss: 9.977224
2017-12-25 20:53:33,435 : Iter 340, training loss: 9.903560
2017-12-25 20:53:36,242 : Iter 350, training loss: 9.929246
2017-12-25 20:53:37,486 : Epoch 1, training loss: 9.923646
2017-12-25 20:53:39,032 : Epoch 1, validation loss: 8.850170
2017-12-25 20:53:39,155 : Training checkpoint has been saved.
2017-12-25 20:53:39,155 : Epoch 2 started:
2017-12-25 20:53:39,430 : Iter 0, training loss: 7.963157
2017-12-25 20:53:41,967 : Iter 10, training loss: 8.298901
2017-12-25 20:53:44,549 : Iter 20, training loss: 9.173698
2017-12-25 20:53:47,208 : Iter 30, training loss: 8.627275
2017-12-25 20:53:49,715 : Iter 40, training loss: 8.256786
2017-12-25 20:53:52,299 : Iter 50, training loss: 8.139090
2017-12-25 20:53:54,867 : Iter 60, training loss: 7.937227
2017-12-25 20:53:57,335 : Iter 70, training loss: 8.022364
2017-12-25 20:53:59,771 : Iter 80, training loss: 7.987826
2017-12-25 20:54:02,254 : Iter 90, training loss: 8.142678
2017-12-25 20:54:04,807 : Iter 100, training loss: 7.917452
2017-12-25 20:54:07,190 : Iter 110, training loss: 7.862067
2017-12-25 20:54:09,656 : Iter 120, training loss: 8.005919
2017-12-25 20:54:12,206 : Iter 130, training loss: 7.972980
2017-12-25 20:54:14,860 : Iter 140, training loss: 7.913603
2017-12-25 20:54:17,476 : Iter 150, training loss: 7.928300
2017-12-25 20:54:20,065 : Iter 160, training loss: 7.928986
2017-12-25 20:54:22,473 : Iter 170, training loss: 7.872837
2017-12-25 20:54:24,994 : Iter 180, training loss: 7.872721
2017-12-25 20:54:27,564 : Iter 190, training loss: 7.808840
2017-12-25 20:54:30,325 : Iter 200, training loss: 7.760877
2017-12-25 20:54:32,766 : Iter 210, training loss: 7.704139
2017-12-25 20:54:35,166 : Iter 220, training loss: 7.701701
2017-12-25 20:54:37,573 : Iter 230, training loss: 7.774442
2017-12-25 20:54:40,084 : Iter 240, training loss: 7.739810
2017-12-25 20:54:42,549 : Iter 250, training loss: 7.764745
2017-12-25 20:54:45,145 : Iter 260, training loss: 7.764598
2017-12-25 20:54:47,507 : Iter 270, training loss: 7.712353
2017-12-25 20:54:50,171 : Iter 280, training loss: 7.654866
2017-12-25 20:54:52,584 : Iter 290, training loss: 7.618420
2017-12-25 20:54:55,262 : Iter 300, training loss: 7.614295
2017-12-25 20:54:57,851 : Iter 310, training loss: 7.611943
2017-12-25 20:55:00,257 : Iter 320, training loss: 7.603820
2017-12-25 20:55:02,912 : Iter 330, training loss: 7.575900
2017-12-25 20:55:05,610 : Iter 340, training loss: 7.575451
2017-12-25 20:55:08,033 : Iter 350, training loss: 7.536574
2017-12-25 20:55:09,221 : Epoch 2, training loss: 7.534568
