2017-12-25 21:06:34,283 : Finished building computation graph for training.
2017-12-25 21:06:36,698 : Read in training data successfully.
2017-12-25 21:06:36.718321: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-12-25 21:06:37.938761: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.873
pciBusID: 0000:03:00.0
totalMemory: 7.92GiB freeMemory: 7.80GiB
2017-12-25 21:06:37.938794: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080, pci bus id: 0000:03:00.0, compute capability: 6.1)
2017-12-25 21:06:38,558 : Epoch 0 started:
2017-12-25 21:06:39,038 : Iter 0, training loss: 426.739922
2017-12-25 21:06:40,870 : Iter 10, training loss: 201.435524
2017-12-25 21:06:42,797 : Iter 20, training loss: 128.398399
2017-12-25 21:06:44,799 : Iter 30, training loss: 99.412107
2017-12-25 21:06:46,686 : Iter 40, training loss: 84.853723
2017-12-25 21:06:48,724 : Iter 50, training loss: 74.525480
2017-12-25 21:06:50,640 : Iter 60, training loss: 67.516673
2017-12-25 21:06:52,585 : Iter 70, training loss: 62.957634
2017-12-25 21:06:54,414 : Iter 80, training loss: 58.822731
2017-12-25 21:06:56,175 : Iter 90, training loss: 56.216101
2017-12-25 21:06:58,254 : Iter 100, training loss: 53.487941
2017-12-25 21:07:00,181 : Iter 110, training loss: 51.332855
2017-12-25 21:07:01,952 : Iter 120, training loss: 49.452527
2017-12-25 21:07:03,674 : Iter 130, training loss: 48.011361
2017-12-25 21:07:05,609 : Iter 140, training loss: 46.574826
2017-12-25 21:07:07,488 : Iter 150, training loss: 45.278613
2017-12-25 21:07:09,315 : Iter 160, training loss: 44.010271
2017-12-25 21:07:11,247 : Iter 170, training loss: 43.008581
2017-12-25 21:07:13,183 : Iter 180, training loss: 42.154006
2017-12-25 21:07:15,057 : Iter 190, training loss: 41.383353
2017-12-25 21:07:16,967 : Iter 200, training loss: 40.694873
2017-12-25 21:07:18,873 : Iter 210, training loss: 39.952923
2017-12-25 21:07:20,874 : Iter 220, training loss: 39.203164
2017-12-25 21:07:22,763 : Iter 230, training loss: 38.572440
2017-12-25 21:07:24,432 : Iter 240, training loss: 38.052897
2017-12-25 21:07:26,447 : Iter 250, training loss: 37.498823
2017-12-25 21:07:28,316 : Iter 260, training loss: 37.033025
